frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
140,2.3333,655,466,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
141,2.35,655,466,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
142,2.3667,665,456,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
143,2.3833,665,456,1120,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
144,2.4,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
145,2.4167,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
146,2.4333,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
147,2.45,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
148,2.4667,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
149,2.4833,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
150,2.5,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
151,2.5167,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
152,2.5333,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
153,2.55,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
154,2.5667,658,464,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
155,2.5833,658,464,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
156,2.6,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
157,2.6167,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
158,2.6333,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
159,2.65,666,456,1121,535,574,1108,473,577,1049,532,577,1108,1069,567,1635,617,494,1110,37,796,832,159
