frame,t,w_y8,l_y8,r_y8,w_y20,l_y20,r_y20,w_y35,l_y35,r_y35,w_y55,l_y55,r_y55,w_y75,l_y75,r_y75,w_y95,l_y95,r_y95,w_y115,l_y115,r_y115,center_dark_bottom
237,3.95,533,573,1105,519,579,1097,465,579,1043,522,578,1099,1636,0,1635,66,799,864,40,813,852,140
238,3.9667,534,574,1107,518,580,1097,464,580,1043,520,578,1097,1636,0,1635,66,799,864,40,813,852,140
239,3.9833,532,574,1105,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,66,799,864,40,813,852,140
240,4.0,530,575,1104,518,580,1097,464,580,1043,521,579,1099,1636,0,1635,65,800,864,40,813,852,140
241,4.0167,531,575,1105,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,65,799,863,40,813,852,141
242,4.0333,531,575,1105,518,580,1097,464,580,1043,520,579,1098,1636,0,1635,65,799,863,40,813,852,140
243,4.05,532,574,1105,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,66,799,864,40,813,852,140
244,4.0667,531,574,1104,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,66,799,864,40,813,852,141
245,4.0833,531,574,1104,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,66,799,864,40,813,852,141
246,4.1,531,574,1104,518,580,1097,464,580,1043,519,579,1097,1636,0,1635,66,799,864,40,813,852,141
247,4.1167,531,574,1104,518,580,1097,464,580,1043,520,579,1098,1636,0,1635,66,799,864,40,813,852,141
248,4.1333,531,574,1104,518,580,1097,464,580,1043,520,579,1098,1636,0,1635,66,799,864,40,813,852,141
249,4.15,531,574,1104,518,580,1097,464,580,1043,520,579,1098,1636,0,1635,66,799,864,40,813,852,141
250,4.1667,531,574,1104,518,580,1097,464,580,1043,520,579,1098,1636,0,1635,66,799,864,40,813,852,140
251,4.1833,531,574,1104,518,580,1097,464,580,1043,521,579,1099,1636,0,1635,66,799,864,40,813,852,140
